timestamp,S1_Pompa_RPM,S2_Corrente_A,S3_Pres_Aspirazione_bar,S4_Pres_Mandata_bar,S5_Portata_Lmin,S6_Temp_Fluido_C,S7_Vib_Cuscinetto_Ant_mms,S8_Vib_Cuscinetto_Post_mms,S9_Temp_Motore_C,S10_Efficienza_Pct
0,2917.18,15.84,1.57,5.91,259.0,30.2,1.8,1.42,52.29,85.0
60000,2930.83,15.81,1.42,5.96,245.36,30.39,1.71,1.49,52.56,84.15
120000,2922.7,15.66,1.48,5.97,258.24,30.02,1.78,1.56,51.01,85.12
180000,2927.83,16.01,1.49,5.82,254.98,30.28,1.66,1.63,52.5,84.42
240000,2927.77,16.18,1.57,6.16,258.21,30.4,1.63,1.48,52.69,84.02
300000,2923.14,15.88,1.5,5.81,248.79,30.5,1.76,1.56,52.64,84.21
360000,2914.5,15.59,1.53,5.84,256.62,30.15,1.81,1.54,52.25,84.7
420000,2904.2,15.54,1.59,5.98,248.98,30.09,1.8,1.52,52.71,84.46
480000,2933.12,15.89,1.5,5.97,253.82,30.55,1.76,1.58,52.01,83.88
540000,2923.03,15.75,1.46,5.88,252.22,30.34,1.62,1.44,51.84,84.5
600000,2906.52,15.58,1.5,6.08,251.59,30.35,1.82,1.47,52.67,84.46
660000,2911.63,15.73,1.41,5.94,249.57,30.38,1.6,1.26,52.27,84.8
720000,2940.61,16.05,1.44,6.32,251.26,30.0,1.81,1.55,52.54,84.58
780000,2952.62,16.5,1.45,6.21,258.74,30.62,1.74,1.49,53.72,83.79
840000,2928.53,15.83,1.59,5.94,250.75,30.29,1.66,1.44,52.45,83.9
900000,2919.81,15.63,1.47,5.99,249.14,30.38,1.78,1.47,52.25,84.66
960000,2911.22,15.74,1.53,5.94,253.48,30.56,1.86,1.66,52.3,84.55
1020000,2940.38,15.86,1.5,6.0,251.12,30.32,1.61,1.55,51.94,84.53
1080000,2932.82,15.78,1.55,5.94,249.92,30.41,1.77,1.56,52.75,84.51
1140000,2926.61,15.53,1.55,5.98,255.27,30.09,1.76,1.43,51.1,84.87
1200000,2882.03,14.85,1.44,5.72,244.34,30.43,1.83,1.55,51.86,84.03
1260000,2890.21,15.11,1.51,5.93,251.57,30.05,1.83,1.67,51.0,84.29
1320000,2914.74,15.34,1.53,5.7,244.37,30.38,1.74,1.56,50.84,84.79
1380000,2909.08,15.07,1.44,5.81,254.86,30.26,1.76,1.54,51.41,84.65
1440000,2925.61,15.68,1.49,6.02,253.26,30.26,1.49,1.28,52.35,84.32
1500000,2924.04,15.96,1.53,5.94,252.57,30.4,1.77,1.42,52.31,84.21
1560000,2910.9,15.22,1.49,5.9,249.86,30.18,1.57,1.36,52.06,84.26
1620000,2917.61,15.28,1.5,5.85,249.3,30.37,1.68,1.43,51.19,84.84
1680000,2911.95,15.61,1.53,5.72,249.81,30.09,1.58,1.28,52.86,84.37
1740000,2879.04,14.81,1.48,5.68,248.38,29.94,1.67,1.46,50.91,84.34
1800000,2896.98,15.47,1.53,5.91,250.49,30.45,1.73,1.45,50.99,85.11
1860000,2900.94,15.46,1.45,5.79,251.7,30.12,1.72,1.47,52.33,84.44
1920000,2906.59,15.11,1.49,5.99,249.22,30.21,1.75,1.36,51.15,84.5
1980000,2869.16,14.86,1.49,5.71,251.71,30.06,1.92,1.71,50.28,84.46
2040000,2890.52,15.06,1.59,5.83,248.09,30.29,1.77,1.51,50.78,84.98
2100000,2894.99,15.06,1.49,5.64,254.19,30.16,1.68,1.37,50.65,85.05
2160000,2888.76,15.08,1.53,5.81,247.61,30.19,1.76,1.61,51.39,85.18
2220000,2897.68,15.19,1.59,5.98,253.48,29.87,1.73,1.4,51.54,84.65
2280000,2900.64,15.37,1.47,5.96,244.29,30.3,1.86,1.7,52.13,84.32
2340000,2867.99,14.9,1.45,5.61,241.81,30.16,1.88,1.62,51.39,84.35
2400000,2880.61,15.02,1.51,5.55,247.69,30.07,1.77,1.49,50.72,85.0
2460000,2889.49,15.4,1.47,5.8,247.04,30.04,1.7,1.54,52.38,84.41
2520000,2906.93,15.95,1.56,5.78,247.01,29.89,1.56,1.49,52.8,84.73
2580000,2899.51,15.33,1.46,5.79,243.44,30.25,1.77,1.62,51.69,84.44
2640000,2864.83,14.62,1.48,5.69,245.25,31.62,1.77,1.5,51.82,84.13
2700000,2897.59,15.73,1.57,5.82,252.96,31.42,1.75,1.48,53.22,83.72
2760000,2876.72,15.17,1.52,5.81,240.72,31.69,1.7,1.48,53.13,84.21
2820000,2849.87,14.55,1.54,5.57,241.85,31.71,1.58,1.43,52.08,83.84
2880000,2894.38,14.99,1.51,5.86,254.03,31.35,1.61,1.29,52.19,84.34
2940000,2889.6,14.88,1.52,5.78,250.48,30.93,1.62,1.45,52.52,84.52
3000000,2894.91,15.26,1.53,5.91,249.19,31.13,2.08,1.86,52.11,84.92
3060000,2889.58,15.09,1.46,5.7,246.23,31.61,1.7,1.42,53.28,84.15
3120000,2877.09,14.65,1.56,5.74,247.09,31.35,1.83,1.61,51.85,84.84
3180000,2870.78,15.1,1.41,5.78,251.39,31.12,1.72,1.49,53.06,83.68
3240000,2885.03,14.83,1.47,5.8,250.81,31.49,1.46,1.42,52.39,84.31
3300000,2895.59,15.14,1.53,5.78,250.6,31.59,1.65,1.39,53.2,84.76
3360000,2857.16,14.88,1.43,5.47,245.98,31.37,1.7,1.51,51.6,84.6
3420000,2891.36,15.12,1.45,5.81,241.32,31.35,1.67,1.46,52.92,84.78
3480000,2846.16,14.44,1.45,5.51,242.47,31.59,1.8,1.51,51.12,84.26
3540000,2860.07,14.39,1.47,5.86,240.64,31.28,1.64,1.32,52.03,84.73
3600000,2886.66,15.52,1.47,5.83,247.96,31.71,1.7,1.5,53.37,84.58
3660000,2877.22,15.18,1.47,5.78,247.35,31.56,1.79,1.51,53.18,84.34
3720000,2877.35,15.12,1.45,5.83,253.16,30.93,1.84,1.55,53.31,83.85
3780000,2876.05,14.57,1.52,5.62,251.64,31.32,1.8,1.4,51.21,84.44
3840000,2852.97,14.74,1.5,5.57,246.13,31.32,1.77,1.58,52.21,84.16
3900000,2865.27,14.46,1.46,5.62,242.66,31.21,1.75,1.47,52.2,84.7
3960000,2868.44,14.57,1.47,5.62,251.46,31.27,1.74,1.49,51.22,84.5
4020000,2873.46,15.03,1.47,5.89,250.0,31.24,1.8,1.45,53.35,84.06
4080000,2890.41,15.17,1.53,5.87,252.39,31.33,1.69,1.55,51.81,84.28
4140000,2875.91,15.01,1.52,5.9,249.87,31.28,1.92,1.63,51.94,84.8
