timestamp,S1_Pompa_RPM,S2_Corrente_A,S3_Pres_Aspirazione_bar,S4_Pres_Mandata_bar,S5_Portata_Lmin,S6_Temp_Fluido_C,S7_Vib_Cuscinetto_Ant_mms,S8_Vib_Cuscinetto_Post_mms,S9_Temp_Motore_C,S10_Efficienza_Pct
0,2902.88,15.22,1.52,5.91,252.75,30.19,2.03,1.77,51.91,83.33
60000,2921.31,15.99,1.46,5.7,245.76,30.46,1.93,1.63,53.85,83.15
120000,2909.49,15.57,1.54,5.77,251.2,30.27,1.89,1.7,52.89,84.08
180000,2909.67,15.59,1.5,5.81,255.19,30.1,1.85,1.54,52.48,83.3
240000,2881.31,15.19,1.56,5.79,250.34,30.23,2.06,1.76,51.94,83.32
300000,2912.86,15.8,1.47,5.94,254.6,30.47,1.95,1.62,52.66,83.48
360000,2889.79,15.15,1.59,5.64,257.59,30.17,1.79,1.61,52.07,83.16
420000,2909.91,15.69,1.52,5.95,250.05,30.33,1.86,1.57,52.05,83.89
480000,2879.0,15.09,1.48,5.73,252.18,30.34,1.73,1.4,52.16,83.96
540000,2868.12,15.02,1.5,5.72,245.09,30.26,1.98,1.7,52.63,83.45
600000,2874.68,15.26,1.48,5.72,250.07,30.08,1.98,1.71,52.63,83.98
660000,2873.87,15.29,1.4,5.81,244.87,30.16,2.01,1.84,51.97,83.88
720000,2878.36,15.28,1.47,5.58,247.47,30.06,1.94,1.72,51.97,83.5
780000,2892.31,15.75,1.54,5.93,244.09,30.6,2.04,1.64,53.67,83.93
840000,2885.9,15.08,1.52,5.75,248.01,30.34,1.76,1.39,52.53,83.37
900000,2883.78,15.61,1.56,5.65,249.61,30.32,1.88,1.52,52.79,83.72
960000,2902.14,15.57,1.46,5.91,251.51,30.29,1.93,1.78,52.54,83.56
1020000,2845.71,14.87,1.46,5.6,245.2,30.15,1.98,1.62,51.62,84.16
1080000,2895.59,15.22,1.54,5.74,249.08,30.25,2.17,1.77,52.54,83.94
1140000,2881.59,15.62,1.53,5.79,248.55,29.9,2.02,1.8,52.28,83.79
1200000,2863.5,14.77,1.51,5.51,243.56,30.27,1.98,1.71,50.92,83.71
1260000,2856.79,14.95,1.47,5.55,245.86,30.25,1.89,1.65,51.87,83.75
1320000,2858.89,15.03,1.46,5.42,247.29,30.14,1.89,1.62,51.8,83.68
1380000,2871.77,14.94,1.38,5.93,242.99,29.96,1.83,1.56,51.07,83.65
1440000,2884.54,15.7,1.5,5.76,250.54,30.39,1.84,1.54,52.88,83.87
1500000,2904.0,15.61,1.56,5.71,240.72,30.19,1.98,1.73,51.88,84.02
1560000,2862.57,14.86,1.48,5.75,249.16,30.05,1.81,1.5,51.63,83.44
1620000,2863.92,14.84,1.56,5.67,250.35,30.26,1.96,1.6,51.59,83.83
1680000,2879.05,15.07,1.44,5.76,243.15,30.59,1.86,1.56,51.92,84.44
1740000,2855.86,14.53,1.48,5.55,247.57,30.53,1.8,1.56,51.11,83.85
1800000,2887.21,15.66,1.55,5.79,241.39,30.23,1.91,1.44,52.44,84.01
1860000,2902.21,15.51,1.53,5.84,249.93,30.59,1.74,1.46,53.46,83.84
1920000,2868.79,15.29,1.51,5.87,248.78,30.31,1.8,1.39,51.6,83.43
1980000,2874.03,14.77,1.43,5.88,249.27,29.99,1.85,1.59,51.36,83.64
2040000,2866.45,15.03,1.44,5.71,247.31,30.44,1.83,1.49,52.1,83.84
2100000,2851.53,14.64,1.55,5.53,248.07,30.21,1.96,1.59,51.48,83.4
2160000,2872.94,15.07,1.54,5.74,252.49,30.17,1.83,1.57,51.87,83.46
2220000,2855.53,14.78,1.55,5.57,242.17,29.9,2.08,1.7,51.52,84.01
2280000,2883.64,15.08,1.51,5.56,246.86,30.44,2.01,1.47,52.73,83.55
2340000,2869.51,14.9,1.6,5.84,244.06,30.07,2.07,1.89,52.04,83.31
2400000,2868.56,15.03,1.58,5.55,253.86,29.75,1.87,1.58,51.85,83.69
2460000,2887.11,15.71,1.51,5.64,252.85,30.2,1.88,1.45,52.73,83.73
2520000,2875.04,14.84,1.4,5.73,250.85,30.18,1.93,1.54,51.62,83.48
2580000,2877.04,15.2,1.56,5.84,248.66,30.16,1.87,1.45,51.54,83.84
2640000,2865.86,14.86,1.44,5.66,244.6,31.25,1.92,1.55,52.54,83.31
2700000,2869.51,14.99,1.48,5.65,248.95,31.44,1.88,1.55,52.41,83.78
2760000,2861.47,14.89,1.55,5.66,247.21,31.51,1.99,1.73,52.57,83.95
2820000,2865.1,15.24,1.54,5.61,251.67,31.38,1.82,1.56,53.21,83.69
2880000,2862.93,14.85,1.52,5.76,250.38,31.46,1.85,1.55,52.02,83.21
2940000,2896.54,15.34,1.5,5.92,251.72,31.18,1.87,1.55,53.45,84.0
3000000,2859.4,14.87,1.43,5.68,247.68,31.16,1.93,1.79,52.79,83.17
3060000,2894.28,15.02,1.47,5.75,247.95,31.33,1.95,1.69,52.36,83.98
3120000,2896.34,15.35,1.45,5.88,252.9,31.76,1.99,1.72,53.06,82.93
3180000,2874.1,14.63,1.51,5.53,245.63,31.35,1.99,1.61,53.42,83.63
3240000,2883.77,15.09,1.53,5.48,246.93,31.44,1.98,1.78,53.07,83.39
3300000,2875.57,15.4,1.45,5.8,247.44,31.14,1.89,1.45,53.84,83.19
3360000,2877.02,14.93,1.51,5.68,244.51,31.32,1.89,1.72,52.68,84.31
3420000,2879.71,15.63,1.46,5.86,248.09,31.61,1.86,1.7,54.42,83.16
3480000,2896.06,15.7,1.5,5.77,253.32,31.39,2.03,1.63,53.63,83.31
3540000,2885.15,15.65,1.54,5.66,250.79,31.83,2.0,1.68,53.64,83.66
3600000,2894.66,15.47,1.41,5.97,253.03,31.17,1.99,1.53,53.18,83.26
3660000,2914.63,15.81,1.38,5.82,251.96,31.35,1.93,1.56,54.46,83.27
3720000,2920.86,15.7,1.59,5.96,248.76,31.51,2.12,1.83,54.14,82.97
3780000,2901.03,15.58,1.54,5.93,249.77,31.73,1.93,1.52,53.44,83.46
3840000,2885.51,14.89,1.5,5.73,250.27,31.52,1.76,1.44,52.44,84.14
3900000,2866.61,15.0,1.45,5.55,246.81,31.38,1.8,1.62,52.63,83.49
3960000,2885.67,15.29,1.44,5.78,252.04,31.44,1.97,1.63,53.64,83.61
4020000,2893.96,15.82,1.5,5.97,256.81,31.25,1.87,1.53,54.73,82.41
4080000,2909.78,15.62,1.51,5.77,248.72,31.09,1.86,1.64,53.52,83.53
4140000,2923.5,15.55,1.51,5.96,253.3,30.83,1.66,1.51,53.44,83.94
4200000,2906.28,15.56,1.52,5.93,248.9,31.36,1.98,1.49,52.57,83.85
4260000,2892.3,15.31,1.57,5.67,252.84,31.08,2.08,2.0,53.35,83.45
4320000,2901.04,15.41,1.49,5.79,250.77,31.4,1.89,1.74,52.87,83.48
4380000,2927.46,16.14,1.54,5.97,250.74,31.23,2.03,1.73,54.46,82.71
4440000,2909.14,15.23,1.47,5.86,249.54,31.37,1.81,1.64,51.98,83.65
4500000,2904.45,15.83,1.5,5.93,253.17,31.32,1.6,1.4,54.18,83.32
4560000,2901.06,15.4,1.55,5.79,249.91,31.45,1.93,1.8,53.62,83.64
4620000,2893.35,15.26,1.56,5.71,253.3,31.28,1.86,1.75,54.06,83.44
4680000,2912.57,15.91,1.47,5.76,248.1,31.57,2.02,1.64,54.98,83.7
4740000,2931.61,16.02,1.49,5.92,250.47,31.64,2.01,1.71,54.02,83.01
4800000,2918.4,15.96,1.54,5.87,252.67,31.38,2.07,1.71,55.0,83.27
4860000,2892.56,15.39,1.51,5.81,244.52,31.32,1.8,1.51,52.85,83.61
4920000,2948.41,16.22,1.51,6.02,253.39,31.27,1.91,1.66,54.62,82.99
4980000,2935.45,16.07,1.52,5.92,248.36,31.54,1.84,1.59,54.73,82.94
5040000,2939.18,16.14,1.52,5.97,253.98,31.4,2.13,1.86,54.92,82.74
5100000,2896.23,15.48,1.51,5.95,250.27,31.64,1.95,1.62,53.11,83.49
5160000,2920.9,15.56,1.58,5.97,250.68,31.35,1.94,1.61,52.69,83.21
5220000,2953.63,16.4,1.55,5.83,260.23,31.39,1.92,1.62,54.92,82.34
5280000,2918.32,15.87,1.56,5.84,252.98,31.51,2.11,1.82,54.48,83.11
5340000,2896.11,15.21,1.51,5.95,251.23,31.26,1.8,1.59,53.14,83.25
5400000,2916.89,15.57,1.49,5.91,249.97,31.21,1.77,1.47,54.36,83.49
5460000,2923.24,15.43,1.43,6.0,254.14,31.06,1.99,1.76,53.92,83.35
5520000,2896.45,15.33,1.51,5.99,251.79,30.88,2.02,1.83,53.23,83.36
5580000,2912.56,15.48,1.57,5.84,251.09,31.44,1.85,1.53,54.15,83.39
5640000,2916.62,15.59,1.53,6.19,248.19,31.59,1.92,1.56,53.79,83.46
5700000,2921.21,15.83,1.39,5.88,255.28,31.3,2.02,1.63,53.84,82.73
5760000,2934.16,15.91,1.57,6.0,254.69,31.35,1.89,1.61,53.91,83.03
5820000,2925.74,15.84,1.51,6.04,250.89,31.48,1.87,1.62,54.43,82.97
5880000,2913.19,15.88,1.52,5.79,252.88,31.44,1.82,1.51,54.39,83.75
5940000,2927.64,15.96,1.54,6.01,253.31,31.36,2.0,1.61,54.61,83.38
6000000,2940.1,16.12,1.47,5.75,259.73,31.51,1.85,1.49,53.83,83.26
6060000,2930.24,15.73,1.49,6.02,254.07,31.11,1.86,1.55,54.48,82.92
6120000,2936.31,15.7,1.49,6.07,256.98,31.23,2.01,1.78,53.57,83.13
6180000,2928.01,15.88,1.47,5.85,249.03,31.84,1.94,1.66,54.33,83.01
6240000,2954.33,16.55,1.51,6.16,254.1,32.18,1.93,1.74,55.29,82.73
6300000,2938.64,16.06,1.52,6.0,254.14,32.24,1.89,1.42,55.32,82.71
6360000,2911.98,15.56,1.57,5.71,246.09,32.0,2.01,1.73,54.82,82.98
6420000,2921.79,15.68,1.47,5.97,252.67,31.87,1.96,1.65,54.51,83.27
6480000,2913.68,15.64,1.56,5.9,256.58,32.06,2.03,1.73,54.62,82.86
6540000,2920.01,15.42,1.41,5.81,253.55,31.74,1.87,1.65,54.49,83.21
6600000,2924.86,15.55,1.51,5.92,252.2,31.94,1.89,1.78,54.33,83.39
6660000,2922.87,15.84,1.45,6.05,252.58,32.39,1.87,1.57,54.72,83.06
6720000,2938.82,16.01,1.46,5.97,255.1,31.91,1.93,1.69,54.0,83.2
6780000,2907.19,15.7,1.45,6.04,250.69,32.19,1.95,1.6,54.72,83.08
6840000,2929.02,16.04,1.57,5.93,252.46,32.4,1.98,1.66,54.92,82.81
6900000,2916.56,16.01,1.48,5.72,253.8,32.04,1.89,1.59,55.07,83.33
6960000,2896.48,15.58,1.49,5.74,244.93,31.68,1.7,1.53,54.46,83.32
7020000,2924.35,15.56,1.55,5.95,247.94,32.32,1.93,1.58,54.25,83.5
7080000,2913.52,15.82,1.5,5.86,251.32,31.89,1.85,1.54,54.94,82.93
7140000,2923.23,15.81,1.45,6.08,251.18,32.31,2.06,1.64,55.34,83.15
7200000,2900.68,15.39,1.51,5.84,254.29,32.54,1.8,1.58,54.94,82.86
7260000,2915.47,15.44,1.46,5.89,253.04,32.0,2.02,1.64,53.36,83.61
7320000,2889.64,15.54,1.47,5.9,248.79,32.07,2.05,1.83,54.5,83.08
7380000,2933.15,15.91,1.47,5.95,254.71,32.17,1.82,1.57,55.83,83.37
7440000,2912.81,15.38,1.62,6.05,248.78,31.99,1.97,1.48,54.61,83.33
7500000,2918.07,15.62,1.56,5.89,253.5,31.82,1.98,1.76,54.38,83.06
7560000,2901.6,15.61,1.46,5.94,249.87,32.25,1.98,1.81,55.02,83.56
7620000,2895.1,15.74,1.53,5.58,251.39,32.21,2.0,1.65,54.91,83.92
7680000,2903.27,15.21,1.46,5.86,250.01,32.18,1.93,1.72,53.98,83.42
7740000,2925.69,16.06,1.57,5.98,254.78,32.16,1.85,1.55,55.16,82.85
7800000,2882.58,15.31,1.48,5.83,244.56,31.76,1.89,1.65,54.63,82.96
7860000,2925.56,15.72,1.43,5.91,251.58,32.07,1.86,1.62,55.55,82.92
7920000,2877.13,15.06,1.43,5.79,245.27,32.04,2.08,1.89,54.64,83.24
7980000,2883.69,15.18,1.5,5.81,248.04,32.18,1.89,1.53,54.51,83.48
8040000,2877.55,15.11,1.5,5.66,251.05,31.68,1.77,1.47,53.4,83.91
8100000,2909.77,15.23,1.49,5.82,248.89,32.44,1.8,1.32,52.94,83.56
8160000,2875.41,15.12,1.65,5.74,247.33,31.98,1.98,1.77,54.22,82.74
8220000,2872.63,14.82,1.49,5.79,245.97,32.18,1.91,1.6,54.0,83.16
8280000,2881.93,15.47,1.52,5.69,251.91,31.9,1.93,1.55,53.21,83.86
8340000,2877.95,15.05,1.48,5.83,247.9,31.69,1.83,1.64,53.49,82.96
8400000,2874.02,14.87,1.46,5.67,249.24,32.11,1.9,1.73,53.49,83.68
8460000,2841.35,14.62,1.52,5.64,243.82,31.71,1.78,1.5,54.05,82.73
8520000,2893.83,15.48,1.45,5.73,252.19,32.12,1.98,1.63,53.7,83.3
8580000,2880.21,15.06,1.54,5.64,245.75,32.38,1.83,1.54,53.36,83.69
8640000,2892.4,15.36,1.49,5.84,248.18,32.25,1.98,1.54,54.32,82.89
8700000,2875.29,15.13,1.49,5.66,248.02,32.35,2.0,1.58,54.45,83.36
8760000,2870.48,15.18,1.56,5.67,246.84,32.17,1.87,1.48,54.23,83.36
8820000,2877.5,14.93,1.41,5.75,251.77,32.03,1.72,1.43,52.81,83.16
8880000,2863.76,14.87,1.52,5.59,251.85,31.99,1.86,1.6,52.99,83.55
8940000,2873.04,14.84,1.44,5.78,245.66,32.08,1.89,1.49,53.27,82.98
9000000,2883.8,15.15,1.47,5.76,251.22,31.89,1.97,1.73,54.19,83.64
