timestamp,S1_Pompa_RPM,S2_Corrente_A,S3_Pres_Aspirazione_bar,S4_Pres_Mandata_bar,S5_Portata_Lmin,S6_Temp_Fluido_C,S7_Vib_Cuscinetto_Ant_mms,S8_Vib_Cuscinetto_Post_mms,S9_Temp_Motore_C,S10_Efficienza_Pct
0,2908.68,15.19,1.51,5.81,252.0,29.95,1.55,1.3,51.49,84.69
60000,2894.99,15.29,1.51,5.98,254.77,29.79,1.61,1.39,51.6,85.06
120000,2903.87,15.34,1.46,5.93,248.22,30.41,1.46,1.19,51.02,85.47
180000,2924.14,15.67,1.49,6.14,252.34,29.77,1.71,1.52,52.1,84.7
240000,2887.79,15.22,1.47,6.02,252.11,30.18,1.57,1.13,51.88,84.66
300000,2928.76,15.67,1.58,5.96,249.55,30.67,1.59,1.4,51.7,85.32
360000,2907.71,15.46,1.48,6.01,250.48,30.2,1.55,1.26,50.26,85.23
420000,2915.54,15.47,1.45,5.99,250.49,30.2,1.51,1.34,51.81,85.03
480000,2886.7,15.29,1.41,5.86,245.36,30.14,1.48,1.4,51.43,85.72
540000,2898.22,15.3,1.55,5.73,246.61,30.0,1.75,1.4,52.09,85.02
600000,2889.17,15.01,1.52,5.74,247.29,30.2,1.54,1.22,51.55,85.13
660000,2897.72,15.19,1.59,5.97,248.01,29.95,1.7,1.5,52.09,85.56
720000,2894.01,14.91,1.52,5.72,253.89,30.16,1.66,1.42,50.06,85.48
780000,2910.04,15.38,1.55,5.88,250.67,30.55,1.78,1.42,51.01,84.81
840000,2896.35,15.51,1.45,5.77,253.45,30.3,1.65,1.3,51.76,84.91
900000,2912.85,15.38,1.46,5.9,248.5,30.4,1.76,1.47,50.8,85.24
960000,2877.47,15.17,1.41,5.95,246.03,30.13,1.75,1.22,51.34,84.86
1020000,2902.4,15.52,1.55,6.05,252.01,30.47,1.67,1.39,50.93,85.43
1080000,2867.7,15.0,1.45,5.88,246.47,30.32,1.57,1.27,50.75,84.76
1140000,2868.6,15.05,1.45,5.81,250.38,30.24,1.52,1.3,51.23,84.87
1200000,2886.8,14.69,1.53,5.81,244.9,30.09,1.65,1.27,50.32,85.22
1260000,2860.54,14.54,1.47,5.73,243.08,30.54,1.58,1.42,50.11,85.16
1320000,2875.68,14.85,1.47,5.75,247.14,30.27,1.59,1.29,51.62,84.91
1380000,2895.06,15.07,1.52,5.91,250.15,30.44,1.58,1.3,50.87,85.6
1440000,2860.02,15.16,1.43,5.59,246.23,30.64,1.75,1.43,51.58,84.94
1500000,2909.29,15.54,1.54,5.95,254.05,30.2,1.74,1.39,51.72,84.86
1560000,2868.62,14.69,1.45,5.8,244.84,30.03,1.44,1.27,50.57,84.8
1620000,2889.04,14.99,1.47,5.79,250.95,30.5,1.65,1.4,50.29,85.27
1680000,2872.43,15.29,1.5,5.89,254.05,30.37,1.54,1.27,50.75,84.97
1740000,2870.28,14.95,1.53,5.73,249.21,29.87,1.73,1.36,52.31,84.57
1800000,2888.28,15.17,1.52,5.77,254.68,29.95,1.68,1.45,50.36,84.81
1860000,2859.94,14.31,1.46,5.59,246.32,30.18,1.8,1.45,50.63,84.89
1920000,2867.64,15.09,1.5,5.65,251.1,30.42,1.55,1.31,51.62,84.6
1980000,2867.11,14.71,1.48,5.71,250.43,30.35,1.46,1.18,50.61,84.86
2040000,2872.03,15.33,1.41,5.73,248.03,30.25,1.63,1.37,51.84,84.47
2100000,2885.18,15.13,1.47,5.82,250.88,30.13,1.47,1.33,52.15,84.71
2160000,2883.93,15.2,1.51,5.66,250.46,30.49,1.44,1.16,50.84,84.76
2220000,2857.06,14.56,1.49,5.77,250.06,30.29,1.64,1.56,49.55,84.97
2280000,2853.08,14.33,1.44,5.65,246.92,29.88,1.59,1.29,49.91,84.66
2340000,2843.78,14.31,1.46,5.83,240.71,30.3,1.4,1.15,49.83,85.38
2400000,2859.96,14.71,1.57,5.72,246.19,30.22,1.82,1.47,50.14,85.12
2460000,2882.78,15.12,1.51,5.85,245.63,30.16,1.72,1.39,51.93,85.36
2520000,2881.11,15.22,1.6,5.92,251.53,30.29,1.79,1.66,51.38,85.07
2580000,2878.13,14.96,1.51,5.86,247.51,29.95,1.6,1.33,50.05,85.71
2640000,2844.74,14.49,1.5,5.75,253.42,31.34,1.49,1.26,51.46,84.21
2700000,2888.95,15.15,1.52,5.86,251.04,31.3,1.56,1.32,53.0,85.0
2760000,2865.82,14.64,1.48,5.91,252.43,31.1,1.76,1.64,51.38,84.89
2820000,2861.68,14.82,1.53,5.78,246.48,31.28,1.66,1.47,51.69,85.33
2880000,2884.08,15.45,1.42,5.94,257.21,31.17,1.21,0.92,52.49,84.99
2940000,2873.21,14.92,1.55,5.66,247.93,31.28,1.5,1.42,52.11,84.57
3000000,2868.79,14.88,1.4,5.74,245.86,31.32,1.57,1.34,51.84,84.65
3060000,2874.94,15.34,1.53,5.66,250.16,31.24,1.53,1.38,52.62,84.78
3120000,2871.93,15.05,1.47,5.78,243.75,31.59,1.73,1.56,53.1,85.04
3180000,2882.32,15.01,1.53,5.69,254.75,30.95,1.6,1.32,53.01,84.68
3240000,2881.85,14.96,1.44,6.01,248.65,31.06,1.54,1.25,52.63,84.94
3300000,2877.87,14.94,1.6,5.79,247.02,31.02,1.64,1.42,51.07,84.76
3360000,2852.45,14.59,1.5,5.89,242.59,31.26,1.53,1.35,50.79,84.65
3420000,2893.13,15.2,1.53,5.68,247.64,31.44,1.53,1.22,52.86,85.18
3480000,2893.12,14.87,1.49,5.82,243.32,31.23,1.49,1.27,51.96,84.96
3540000,2878.86,14.78,1.45,5.91,250.02,31.28,1.77,1.55,51.02,84.8
3600000,2883.79,15.11,1.52,5.76,249.62,31.29,1.65,1.35,52.9,84.36
3660000,2917.13,15.75,1.56,6.06,248.83,31.16,1.62,1.34,52.79,85.39
3720000,2874.55,15.08,1.52,6.01,248.34,31.11,1.54,1.3,52.1,84.86
3780000,2879.17,14.65,1.5,5.8,248.17,31.75,1.51,1.29,51.8,85.3
3840000,2882.44,14.97,1.53,5.95,251.97,30.95,1.6,1.31,51.13,85.4
3900000,2867.31,14.82,1.46,5.72,249.64,31.73,1.75,1.38,50.55,84.63
3960000,2905.15,15.18,1.52,5.86,252.12,31.18,1.58,1.33,51.71,85.51
4020000,2883.35,15.01,1.5,5.78,250.97,31.54,1.6,1.35,52.2,84.83
4080000,2902.09,15.17,1.43,5.96,247.91,31.27,1.63,1.34,52.71,84.77
4140000,2908.71,15.27,1.49,5.97,250.61,31.44,1.75,1.47,52.64,84.91
4200000,2908.49,15.35,1.63,6.09,245.1,31.5,1.68,1.37,53.51,84.43
4260000,2888.32,14.94,1.52,5.87,246.17,31.55,1.64,1.33,51.32,85.28
4320000,2923.77,15.69,1.49,5.92,250.16,31.33,1.41,1.28,54.13,84.23
4380000,2896.65,15.17,1.58,5.96,246.5,31.36,1.54,1.33,51.93,84.97
4440000,2868.93,14.81,1.54,5.82,249.37,31.12,1.78,1.61,51.2,84.55
4500000,2927.76,15.97,1.41,5.96,248.96,31.41,1.63,1.47,53.55,83.98
4560000,2869.88,15.0,1.53,5.7,245.21,31.53,1.6,1.34,52.62,84.04
4620000,2904.65,15.32,1.48,6.09,249.19,31.31,1.64,1.48,52.51,85.2
4680000,2902.15,15.21,1.46,6.05,249.05,31.42,1.82,1.51,52.9,84.94
4740000,2905.86,15.58,1.51,6.01,248.21,31.31,1.51,1.32,52.31,84.88
4800000,2879.06,14.76,1.43,5.92,250.11,31.68,1.65,1.33,51.24,85.07
4860000,2917.91,15.37,1.44,6.0,252.27,31.65,1.77,1.61,52.79,84.48
4920000,2917.79,15.18,1.51,5.97,250.39,31.23,1.53,1.45,53.04,84.74
4980000,2918.79,15.46,1.51,5.89,247.46,31.41,1.69,1.46,52.93,84.92
5040000,2895.8,15.55,1.45,5.77,250.52,31.32,1.53,1.28,52.87,85.25
5100000,2935.72,15.99,1.58,6.19,253.5,31.55,1.57,1.41,54.25,84.26
5160000,2943.72,15.87,1.49,6.03,252.21,30.98,1.69,1.55,53.43,84.21
5220000,2900.79,15.33,1.51,5.99,254.41,30.86,1.6,1.4,52.32,84.72
5280000,2914.06,15.6,1.4,5.87,247.13,31.3,1.63,1.31,52.96,84.93
5340000,2889.34,15.44,1.58,5.96,254.79,31.45,1.78,1.62,53.46,84.82
5400000,2931.59,15.98,1.46,6.15,249.81,31.43,1.44,1.31,53.19,84.7
5460000,2929.26,15.74,1.47,5.99,253.61,31.35,1.54,1.29,53.78,84.38
