timestamp,S1_Pompa_RPM,S2_Corrente_A,S3_Pres_Aspirazione_bar,S4_Pres_Mandata_bar,S5_Portata_Lmin,S6_Temp_Fluido_C,S7_Vib_Cuscinetto_Ant_mms,S8_Vib_Cuscinetto_Post_mms,S9_Temp_Motore_C,S10_Efficienza_Pct
0,2872.06,14.6,1.54,5.88,255.61,30.25,1.4,1.01,49.6,86.36
60000,2894.52,14.91,1.49,5.8,251.21,29.89,1.3,0.87,50.83,86.53
120000,2843.27,14.0,1.52,5.72,246.84,29.97,1.28,1.14,48.36,86.39
180000,2858.77,14.34,1.49,5.68,246.81,29.9,1.43,1.2,49.33,85.99
240000,2866.17,14.55,1.48,5.9,248.25,30.42,1.53,1.22,50.43,86.09
300000,2852.62,14.48,1.54,5.86,245.46,30.05,1.47,1.19,50.08,86.28
360000,2864.63,14.73,1.55,5.76,245.58,30.12,1.3,1.01,49.12,86.22
420000,2870.59,14.66,1.45,5.87,249.68,30.11,1.42,1.23,49.2,86.38
480000,2886.52,14.69,1.45,5.93,247.79,30.34,1.22,0.95,49.78,85.97
540000,2890.13,14.73,1.47,6.06,252.16,30.08,1.38,1.24,50.71,86.53
600000,2866.41,14.32,1.55,5.85,250.31,30.22,1.45,1.24,49.37,86.6
660000,2907.25,15.43,1.56,6.01,254.96,30.3,1.52,1.28,51.04,86.12
720000,2886.0,14.97,1.53,5.96,244.76,30.33,1.45,1.22,50.11,86.38
780000,2888.64,15.2,1.61,5.85,250.04,30.35,1.43,1.13,50.65,85.79
840000,2892.6,14.98,1.57,6.05,245.05,30.32,1.41,1.25,50.21,86.02
900000,2860.73,14.63,1.51,5.81,250.62,29.79,1.21,1.11,49.94,85.89
960000,2881.07,14.75,1.54,5.89,247.55,30.14,1.41,1.18,50.03,86.21
1020000,2900.14,15.22,1.57,5.97,248.51,30.09,1.39,1.33,52.05,86.08
1080000,2860.6,14.31,1.5,5.88,243.92,30.56,1.46,1.29,49.46,85.46
1140000,2878.68,14.75,1.52,5.98,253.28,30.15,1.39,1.28,50.71,86.26
1200000,2899.71,15.2,1.54,5.95,253.42,30.32,1.38,1.15,50.03,86.45
1260000,2871.28,14.13,1.51,5.89,253.52,29.95,1.28,1.18,48.61,86.35
1320000,2888.45,15.04,1.48,5.99,249.97,30.16,1.45,1.25,51.27,86.27
1380000,2910.93,15.31,1.5,5.99,252.29,30.03,1.33,0.97,51.32,85.49
1440000,2877.58,14.92,1.45,6.06,241.38,30.11,1.34,1.13,50.64,86.07
1500000,2894.45,15.29,1.58,5.8,249.44,30.14,1.43,1.23,50.99,85.86
1560000,2870.55,15.03,1.41,5.75,243.67,30.19,1.36,1.18,51.01,85.77
1620000,2905.4,15.21,1.52,5.97,252.09,30.36,1.31,1.15,50.97,86.27
1680000,2900.64,14.83,1.39,6.01,249.24,30.34,1.39,1.11,51.11,85.64
1740000,2889.59,14.85,1.45,5.91,250.68,30.39,1.49,1.21,50.6,86.73
1800000,2879.45,14.82,1.39,5.79,245.5,30.32,1.35,1.11,50.15,85.96
1860000,2893.1,14.94,1.49,5.88,247.72,29.95,1.52,1.22,51.02,85.98
1920000,2878.29,14.74,1.5,5.74,246.3,30.02,1.34,1.21,49.98,85.99
1980000,2903.7,15.5,1.49,5.95,256.04,30.67,1.23,0.89,51.77,86.08
2040000,2887.77,14.41,1.46,6.03,251.13,30.22,1.57,1.35,49.91,86.06
2100000,2908.45,15.27,1.59,6.02,251.51,30.01,1.44,1.18,51.39,86.35
2160000,2860.98,14.5,1.44,5.57,244.28,29.99,1.21,0.94,49.6,85.61
2220000,2891.1,14.74,1.53,6.0,251.76,30.48,1.29,1.24,49.22,86.42
2280000,2913.1,15.48,1.48,6.03,248.78,30.35,1.4,1.24,50.85,86.18
2340000,2912.44,15.12,1.41,6.05,256.41,30.08,1.53,1.3,50.09,85.88
2400000,2914.35,15.41,1.54,5.96,248.11,29.98,1.4,1.33,50.82,86.03
2460000,2922.97,15.22,1.59,6.02,252.29,30.47,1.51,1.32,50.56,85.91
2520000,2926.36,15.5,1.53,5.93,255.07,30.15,1.38,1.11,51.07,85.74
2580000,2933.72,15.79,1.49,6.04,254.19,29.76,1.65,1.42,51.95,85.48
2640000,2938.97,15.59,1.48,5.92,255.86,31.33,1.44,1.16,51.78,85.86
2700000,2943.27,15.52,1.49,5.96,253.53,31.3,1.43,1.21,52.69,84.91
2760000,2929.16,15.54,1.54,6.1,252.4,30.99,1.45,1.12,53.15,85.42
2820000,2912.52,15.38,1.5,6.13,252.11,31.49,1.26,1.09,52.5,85.96
2880000,2882.38,14.79,1.52,5.79,252.23,31.41,1.25,1.03,51.88,85.59
2940000,2896.18,14.96,1.53,5.91,248.85,31.09,1.41,1.36,51.97,85.58
3000000,2930.99,15.54,1.55,6.06,254.17,31.66,1.28,1.11,52.48,85.54
3060000,2937.78,15.79,1.54,6.28,254.6,31.36,1.31,1.03,53.12,85.35
3120000,2918.14,15.38,1.5,6.11,254.37,31.52,1.31,1.14,51.08,86.09
3180000,2930.39,15.51,1.47,5.95,248.67,31.5,1.41,1.29,52.48,85.66
3240000,2955.39,15.9,1.45,6.03,251.0,31.35,1.43,1.18,53.51,86.05
3300000,2930.93,15.55,1.46,6.12,251.65,31.67,1.26,1.13,52.05,85.25
3360000,2911.29,15.17,1.44,6.26,254.69,31.54,1.25,1.25,51.99,86.07
3420000,2938.56,15.64,1.52,6.14,257.47,31.25,1.41,1.27,52.11,85.61
3480000,2938.9,15.64,1.45,6.12,254.34,31.12,1.49,1.27,53.46,85.18
3540000,2924.54,15.69,1.47,6.06,253.27,31.47,1.2,1.05,53.36,85.16
3600000,2956.76,16.03,1.54,6.11,250.4,31.49,1.34,1.11,53.03,85.46
3660000,2945.76,15.79,1.47,6.03,250.95,31.22,1.41,1.06,53.17,84.83
3720000,2950.62,15.67,1.53,6.22,251.58,31.22,1.61,1.43,52.32,85.71
3780000,2900.66,14.95,1.49,5.88,250.7,31.31,1.36,1.21,50.63,86.17
3840000,2949.52,15.74,1.51,6.08,254.36,31.73,1.36,1.02,51.95,85.68
3900000,2924.97,15.79,1.5,6.12,250.66,31.53,1.41,1.11,51.97,85.65
3960000,2934.53,15.43,1.53,6.07,249.11,30.99,1.37,1.18,52.68,85.43
4020000,2930.53,15.39,1.51,5.99,249.45,31.66,1.38,1.07,51.99,86.07
4080000,2915.75,15.41,1.56,5.88,252.95,31.4,1.48,1.26,51.7,85.7
4140000,2923.69,15.48,1.63,6.14,252.34,31.57,1.43,1.16,53.05,86.04
4200000,2928.17,15.45,1.45,6.05,250.8,31.26,1.51,1.38,52.02,85.46
4260000,2927.91,15.27,1.51,6.09,253.95,31.16,1.26,1.09,52.22,85.3
4320000,2925.32,15.62,1.52,6.26,252.45,31.48,1.42,1.01,52.21,86.12
4380000,2904.46,14.92,1.54,5.82,249.1,31.17,1.51,1.18,50.5,86.5
